r,p(r),s,v,p(z),z,,r,z=T(r)
0,0.0,0.0,0.004752620034121375,0.004752620034121375,0,,0,0
1,0.0,0.0,0.00950524006824275,0.004752620034121375,1,,1,0
2,0.0,0.0,0.014257860102364125,0.004752620034121375,2,,2,0
3,0.0,0.0,0.0190104801364855,0.004752620034121375,3,,3,0
4,0.0,0.0,0.023763100170606875,0.004752620034121375,4,,4,0
5,0.0,0.0,0.02851572020472825,0.004752620034121375,5,,5,0
6,0.0,0.0,0.03326834023884963,0.004752620034121375,6,,6,0
7,0.000148773193359375,0.000148773193359375,0.038020960272971,0.004752620034121375,7,,7,0
8,0.00077056884765625,0.000919342041015625,0.04277358030709237,0.004752620034121375,8,,8,0
9,0.000797271728515625,0.00171661376953125,0.04752620034121374,0.004752620034121375,9,,9,0
10,0.000667572021484375,0.002384185791015625,0.052278820375335114,0.004752620034121375,10,,10,0
11,0.000904083251953125,0.00328826904296875,0.057031440409456485,0.004752620034121375,11,,11,0
12,0.001529693603515625,0.004817962646484375,0.06178406044357786,0.004752620034121375,12,,12,1
13,0.002140045166015625,0.0069580078125,0.06653668047769923,0.004752620034121375,13,,13,1
14,0.001926422119140625,0.008884429931640625,0.0712893005118206,0.004752620034121375,14,,14,1
15,0.001987457275390625,0.01087188720703125,0.07604192054594197,0.004752620034121375,15,,15,2
16,0.00299835205078125,0.0138702392578125,0.08079454058006334,0.004752620034121375,16,,16,2
17,0.004119873046875,0.0179901123046875,0.08554716061418471,0.004752620034121375,17,,17,3
18,0.0056304931640625,0.02362060546875,0.09029978064830609,0.004752620034121375,18,,18,4
19,0.0075836181640625,0.0312042236328125,0.09505240068242746,0.004752620034121375,19,,19,6
20,0.008350372314453125,0.039554595947265625,0.09980502071654883,0.004752620034121375,20,,20,8
21,0.01015472412109375,0.049709320068359375,0.1045576407506702,0.004752620034121375,21,,21,10
22,0.012844085693359375,0.06255340576171875,0.10931026078479157,0.004752620034121375,22,,22,13
23,0.015110015869140625,0.07766342163085938,0.11406288081891294,0.004752620034121375,23,,23,16
24,0.018589019775390625,0.09625244140625,0.11881550085303431,0.004752620034121375,24,,24,20
25,0.019611358642578125,0.11586380004882812,0.12356812088715569,0.004752620034121375,25,,25,24
26,0.017505645751953125,0.13336944580078125,0.12832074092127707,0.004752620034121375,26,,26,28
27,0.015899658203125,0.14926910400390625,0.13307336095539846,0.004752620034121375,27,,27,31
28,0.01502227783203125,0.1642913818359375,0.13782598098951984,0.004752620034121375,28,,28,34
29,0.01513671875,0.1794281005859375,0.14257860102364123,0.004752620034121375,29,,29,37
30,0.014163970947265625,0.19359207153320312,0.1473312210577626,0.004752620034121375,30,,30,40
31,0.01342010498046875,0.20701217651367188,0.152083841091884,0.004752620034121375,31,,31,43
32,0.0137176513671875,0.22072982788085938,0.15683646112600538,0.004752620034121375,32,,32,46
33,0.01438140869140625,0.23511123657226562,0.16158908116012677,0.004752620034121375,33,,33,49
34,0.0148162841796875,0.24992752075195312,0.16634170119424815,0.004752620034121375,34,,34,52
35,0.01453399658203125,0.2644615173339844,0.17109432122836954,0.004752620034121375,35,,35,55
36,0.014617919921875,0.2790794372558594,0.17584694126249092,0.004752620034121375,36,,36,58
