Original DFT magnitude,"pair(u,v)",After Laplacian DFT magnitude,"pair(u,v)"
27969071.0,"[0, 0]",36143.45692193041,"[0, 6]"
4463423.536265216,"[0, 510]",35756.65904899908,"[504, 8]"
4463423.536265216,"[0, 2]",35756.65904899908,"[8, 504]"
4054158.4588351944,"[0, 511]",34734.813511791566,"[0, 2]"
4054158.458835194,"[0, 1]",32758.032618002566,"[9, 499]"
3579394.266408884,"[511, 0]",32733.138131354517,"[503, 13]"
3579394.266408884,"[1, 0]",32528.631495742917,"[9, 7]"
1983537.3904598672,"[3, 1]",32389.25698250344,"[12, 495]"
1983537.3904598672,"[509, 511]",32366.015552406916,"[500, 17]"
1560383.0364813635,"[0, 6]",31395.258951818287,"[5, 507]"
1560383.0364813635,"[0, 506]",31395.258951818287,"[507, 5]"
1494280.1560618219,"[511, 509]",30927.655216645424,"[504, 7]"
1494280.1560618219,"[1, 3]",30918.906233557256,"[8, 505]"
1478195.1393227528,"[2, 1]",30841.910442948116,"[3, 1]"
1478195.1393227528,"[510, 511]",30179.072232244267,"[0, 506]"
1460472.6442911297,"[510, 0]",29492.033792413942,"[4, 2]"
1460472.6442911297,"[2, 0]",29235.635780251625,"[12, 485]"
1413381.7978816342,"[0, 507]",29188.572618982704,"[500, 27]"
1413381.7978816342,"[0, 5]",28797.838841013894,"[4, 4]"
1391361.313032217,"[510, 509]",28775.233329643714,"[5, 498]"
1391361.313032217,"[2, 3]",28717.823198859678,"[507, 14]"
1380798.2623633316,"[1, 2]",28518.031184806616,"[503, 505]"
1380798.2623633316,"[511, 510]",28415.941306088185,"[6, 499]"
1339094.2412724192,"[510, 510]",28371.914836601107,"[506, 13]"
1339094.241272419,"[2, 2]",27931.43425781289,"[10, 489]"
