Original DFT magnitude,"pair(u,v)",After Laplacian DFT magnitude,"pair(u,v)"
118426.37703804331,"[273, 250]",9.994755499873065,"[255, 184]"
118426.37703804331,"[239, 262]",9.994755499873065,"[255, 183]"
118300.62441805567,"[246, 255]",9.994755499873065,"[255, 182]"
118300.62441805565,"[266, 257]",9.994755499873065,"[255, 181]"
118164.20210789685,"[242, 263]",9.994755499873065,"[255, 180]"
118164.20210789684,"[270, 249]",9.994755499873065,"[255, 179]"
118089.46812680311,"[269, 266]",9.994755499873065,"[255, 178]"
118089.46812680311,"[243, 246]",9.994755499873065,"[255, 177]"
117902.88103781678,"[240, 252]",9.994755499873065,"[255, 175]"
117902.88103781678,"[272, 260]",9.994755499873065,"[255, 161]"
117657.28229483777,"[245, 258]",9.994755499873065,"[255, 174]"
117657.28229483777,"[267, 254]",9.994755499873065,"[255, 173]"
117630.4994631351,"[237, 262]",9.994755499873065,"[255, 172]"
117630.49946313509,"[275, 250]",9.994755499873065,"[255, 171]"
117305.07200009722,"[235, 267]",9.994755499873065,"[255, 170]"
117305.07200009722,"[277, 245]",9.994755499873065,"[255, 169]"
116338.30633003544,"[259, 244]",9.994755499873065,"[255, 168]"
116338.30633003543,"[253, 268]",9.994755499873065,"[255, 167]"
115914.11772946248,"[238, 252]",9.994755499873065,"[255, 166]"
115914.11772946246,"[274, 260]",9.994755499873065,"[255, 165]"
115645.3474499134,"[274, 242]",9.994755499873065,"[255, 164]"
115645.3474499134,"[238, 270]",9.994755499873065,"[255, 163]"
115019.40831783394,"[241, 248]",9.994755499873065,"[255, 162]"
115019.40831783392,"[271, 264]",9.994755499873065,"[255, 510]"
114958.36904468121,"[273, 261]",9.994755499873065,"[256, 2]"
